Trait,Scheme,EID,n,rmseFm1,rmseFm2,rmseFm3
SA,8/23,Porvenir_2020,155,0.8895146872894109,0.8768723816295613,0.8910011203763429
SA,8/23,Porvenir_2021,155,1.1847114944217476,1.1784459052560385,1.1908188598871614
SA,8/23,Taula_2018,155,1.392885874393369,1.3851780787183356,1.378950609795717
SA,8/23,Taula_2019,155,1.2587942058110526,1.249216595516175,1.231112608238312
SA,8/4,Balsora_2016,155,1.845083044473079,1.8292902437069603,1.821928037156046
SA,8/4,Balsora_2017,155,1.8032275775174724,1.7848691241317831,1.7658305141047066
SA,8/4,Porvenir_2020,155,0.9660966597076113,0.9450879771296435,0.9658968832463933
SA,8/4,Porvenir_2021,155,1.1920332699560248,1.1791647773961533,1.1896323165606193
SA,8/4,Taula_2018,155,1.3978765732869054,1.381937019772427,1.3805120115318372
SA,8/4,Taula_2019,155,1.2897626771358197,1.2627937176789923,1.2784072182673123
SA,8/8,Balsora_2016,155,1.8495003134865264,1.8453169669942424,1.8495235521434386
SA,8/8,Balsora_2017,155,1.9109241631499814,1.9083434869946938,1.8777701648026353
SA,8/8,Porvenir_2020,155,0.9199175295002453,0.9181865429406115,0.8934046717219559
SA,8/8,Porvenir_2021,155,1.1897087292318587,1.194493079737607,1.187875128421349
SA,8/8,Taula_2018,155,1.4222608539936672,1.4113248423507296,1.4149029551085415
SA,8/8,Taula_2019,155,1.2366628108343372,1.2404173055429828,1.2342634366807317
TCH,0/12,Balsora_2016,155,30.132756588960117,29.24465733388046,29.492797910210072
TCH,0/12,Balsora_2017,155,24.32785268984618,25.68477259863306,24.86865889458476
TCH,0/12,Porvenir_2020,155,12.768060001772838,14.12784398970039,12.957555679405512
TCH,0/12,Porvenir_2021,155,6.457477021303432,6.088627556676398,6.039787905263756
TCH,0/12,Taula_2018,155,14.599389730223818,15.532648881164246,14.710674890264448
TCH,0/12,Taula_2019,155,13.041934272714366,13.516045963642123,13.086959664155215
TCH,0/16,Balsora_2016,155,28.9262024112056,29.094026592928632,29.17372094216974
TCH,0/16,Balsora_2017,155,23.724736082476763,23.640392890579623,23.525367736087254
TCH,0/16,Porvenir_2020,155,12.990718303621946,12.81024621684559,12.831741815855505
TCH,0/16,Porvenir_2021,155,5.988519976949464,6.1702730754923465,6.211200993403323
TCH,0/16,Taula_2018,155,15.041414900307984,14.703809739367484,14.550975390104105
TCH,0/16,Taula_2019,155,13.058114541188692,12.79446828730591,12.734026872805595
TCH,0/20,Balsora_2016,155,29.34725749602665,29.144037017913668,29.6597429690963
TCH,0/20,Balsora_2017,155,23.727292415955354,23.557720813277733,23.441346637450295
TCH,0/20,Porvenir_2020,155,12.905656595911887,12.800241129774886,12.77772058061612
TCH,0/20,Porvenir_2021,155,5.919037711651026,5.774692156465109,5.847125833615489
TCH,0/20,Taula_2018,155,15.092188341048928,15.003350767707078,14.709223962457656
TCH,0/20,Taula_2019,155,12.911333451377171,12.815155704973176,12.765621797529313
TCH,0/24,Balsora_2016,155,29.11030369365912,29.081523576107188,29.3695881929508
TCH,0/24,Balsora_2017,155,23.80484247416055,23.650414582062083,23.667335527567122
TCH,0/24,Porvenir_2020,155,13.26959579676396,13.133767436527895,13.533808032739785
TCH,0/24,Porvenir_2021,155,5.91747924955186,5.924587505075107,6.047369648032345
TCH,0/24,Taula_2018,155,14.920497438936927,14.72864456613069,14.403734408823263
TCH,0/24,Taula_2019,155,13.024296591459755,12.928383322445933,12.88129526998787
TCH,0/28,Balsora_2016,155,28.99219265297076,28.846036295001788,28.991001874937158
TCH,0/28,Balsora_2017,155,23.7228493884897,23.531454253971273,23.2117805280006
TCH,0/28,Porvenir_2020,155,12.937530343434682,12.976506463895701,13.422183521159637
TCH,0/28,Porvenir_2021,155,5.854042751846667,5.8243034312458155,5.983966801592136
TCH,0/28,Taula_2018,155,14.710694566623939,14.70489488413844,14.278085784181775
TCH,0/28,Taula_2019,155,12.977896778342817,12.958040442971729,12.94200279973878
TCH,0/31,Balsora_2016,155,29.090836602490548,29.051089331542432,29.383425441760643
TCH,0/31,Balsora_2017,155,23.71462090999162,23.480072196755284,23.220172511809054
TCH,0/31,Porvenir_2020,155,12.977803100632388,13.171355603180777,13.353735100396541
