Year,Env,Location,Trial,Rep,Row,Col,GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1,cov.Height,cov.Anthesis,cov.AEAR
2020,BOKU,Tulln,2020.Tulln,1,1,10,TS099,11781.720572107995,13.539653506589165,230.52395832800008,70,95,2020-05-30,5.57
2020,BOKU,Tulln,2020.Tulln,1,1,11,TS144,7490.478384767496,7.265370536400106,392.1916666499999,40,85,2020-06-03,5.14
2020,BOKU,Tulln,2020.Tulln,1,2,11,TS084,17306.33333219999,13.705369412867658,201.11406249999993,80,85,2020-06-03,5.57
2020,BOKU,Tulln,2020.Tulln,1,3,11,TS038,8587.88088506448,14.590176601767135,258.8961805466669,40,75,2020-05-28,3.86
2020,BOKU,Tulln,2020.Tulln,1,4,11,TS062,3359.2098956149925,9.844592609929926,331.86432290500005,10,80,2020-05-28,1.71
2020,BOKU,Tulln,2020.Tulln,1,5,11,TS058,6022.949947607485,11.445039364343634,279.75358795555576,15,85,2020-05-28,3
2020,BOKU,Tulln,2020.Tulln,1,6,11,TS188,8100.321874344996,10.23772056608603,273.58385416500005,40,80,2020-05-30,7.29
2020,BOKU,Tulln,2020.Tulln,1,7,11,TS076,1618.6663021564964,5.343270736778898,383.32847221666646,3,70,2020-05-24,4.29
2020,BOKU,Tulln,2020.Tulln,1,8,11,TS165,8765.527342930498,11.8987078224196,264.89027777666666,40,85,2020-05-30,5.14
2020,BOKU,Tulln,2020.Tulln,1,9,11,TS088,6031.6973434324855,13.027591587198877,290.18229166000015,20,95,2020-05-28,4.29
2020,BOKU,Tulln,2020.Tulln,1,10,11,TS067,2013.527968515999,8.9835569744064,316.2749999800003,5,70,2020-05-18,0.43
2020,BOKU,Tulln,2020.Tulln,1,11,11,TS083,8974.419426282497,11.8987078224196,264.89027777666666,40,85,2020-05-30,6.86
2020,BOKU,Tulln,2020.Tulln,1,12,11,TS093,7352.761353449498,10.23772056608603,282.27743055333343,30,90,2020-05-30,5.14
2020,BOKU,Tulln,2020.Tulln,1,13,11,TS001,9176.230103149497,13.539653506589165,268.367708332,30,95,2020-05-30,0.86
2020,BOKU,Tulln,2020.Tulln,1,14,11,TS079,1213.812343745999,4.56566213599924,397.1145833200002,1,85,2020-05-20,0.43
2020,BOKU,Tulln,2020.Tulln,1,15,11,TS051,1213.812343745999,4.56566213599924,397.1145833200002,1,80,2020-05-20,5.57
2020,BOKU,Tulln,2020.Tulln,1,16,11,TS170,16934.820311334985,13.294922987730958,202.03068181363642,80,75,2020-06-05,6.43
2020,BOKU,Tulln,2020.Tulln,1,17,11,TS162,6300.830155907484,13.027591587198877,279.75358795555576,15,80,2020-05-28,6.86
2020,BOKU,Tulln,2020.Tulln,1,18,11,TS192,9501.221873989998,13.539653506589165,268.367708332,30,90,2020-05-30,6.86
2020,BOKU,Tulln,2020.Tulln,1,18,12,TS098,11157.239322072994,13.539653506589165,236.89114583000003,60,75,2020-05-30,9
2020,BOKU,Tulln,2020.Tulln,1,17,12,TS045,4940.276823094501,11.973856731064137,277.9031249999998,15,95,2020-05-26,3.86
2020,BOKU,Tulln,2020.Tulln,1,16,12,TS185,8264.495728299498,11.8987078224196,273.58385416500005,30,85,2020-05-30,5.14
2020,BOKU,Tulln,2020.Tulln,1,15,12,TS128,18819.895832039983,14.8868389607498,200.32416666200007,90,90,2020-06-05,4.29
2020,BOKU,Tulln,2020.Tulln,1,14,12,TS029,7048.397864257484,13.027591587198877,276.7739583257145,25,85,2020-05-28,8.57
2020,BOKU,Tulln,2020.Tulln,1,13,12,TS073,1129.5314064804936,5.511307249285755,353.36666666999963,0.5,75,2020-05-22,0.43
2020,BOKU,Tulln,2020.Tulln,1,12,12,TS145,9485.579947507478,15.803915664598483,258.8961805466669,30,75,2020-05-28,5.57
2020,BOKU,Tulln,2020.Tulln,1,11,12,TS105,10254.650780887478,14.590176601767135,243.2531249900003,50,80,2020-05-28,5.14
2020,BOKU,Tulln,2020.Tulln,1,10,12,TS140,9256.019790894996,11.8987078224196,247.50312499999995,50,80,2020-05-30,7.29
2020,BOKU,Tulln,2020.Tulln,1,9,12,TS100,2784.552395682994,6.599083607192334,373.54635414999996,10,90,2020-05-28,2.57
2020,BOKU,Tulln,2020.Tulln,1,8,12,TS223,5260.1881768144885,11.445039364343634,308.7076388800001,20,85,2020-05-28,6
2020,BOKU,Tulln,2020.Tulln,1,7,12,TS154,12813.788540734993,15.15827854509395,228.6373842533334,70,90,2020-05-30,7.71
2020,BOKU,Tulln,2020.Tulln,1,6,12,TS101,7627.274999294997,10.23772056608603,282.27743055333343,30,95,2020-05-30,7.71
2020,BOKU,Tulln,2020.Tulln,1,5,12,TS110,4608.758124757989,9.844592609929926,317.9703124900001,15,90,2020-05-28,4.71
2020,BOKU,Tulln,2020.Tulln,1,4,12,TS008,20381.85937374999,15.34200181705013,190.50208333,90,85,2020-06-03,4.29
2020,BOKU,Tulln,2020.Tulln,1,3,12,TS182,10457.986978424982,11.318152992231665,261.47187499999995,50,85,2020-06-01,6.43
2020,BOKU,Tulln,2020.Tulln,1,2,12,TS056,1609.8593229119983,7.28111128661119,329.8770833200003,1,75,2020-05-20,3.43
2020,BOKU,Tulln,2020.Tulln,1,1,12,TS221,14287.075519774991,12.045619279832392,229.1131944466666,70,85,2020-06-03,3
2020,BOKU,Tulln,2020.Tulln,1,1,13,TS199,8747.187499414995,9.867158796707749,340.05416664999984,30,80,2020-06-05,3
2020,BOKU,Tulln,2020.Tulln,1,2,13,TS143,19965.635415399986,14.8868389607498,187.80972221666676,90,90,2020-06-05,7.71
2020,BOKU,Tulln,2020.Tulln,1,3,13,TS071,3682.5901043294916,12.310883459883405,297.2916666550001,10,85,2020-05-24,2.57
2020,BOKU,Tulln,2020.Tulln,1,4,13,TS124,17622.39062384999,12.924444463731632,201.11406249999993,80,85,2020-06-03,3.43
2020,BOKU,Tulln,2020.Tulln,1,5,13,TS131,5642.557603882987,11.445039364343634,290.18229166000015,20,80,2020-05-28,1.71
2020,BOKU,Tulln,2020.Tulln,1,6,13,TS092,10384.122030879476,15.803915664598483,243.2531249900003,50,90,2020-05-28,7.29
2020,BOKU,Tulln,2020.Tulln,1,7,13,TS078,3651.731197757492,6.599083607192334,401.3343749799999,15,95,2020-05-28,3
2020,BOKU,Tulln,2020.Tulln,1,8,13,TS015,12222.339842780493,15.15827854509395,235.37514880571433,60,80,2020-05-30,4.29
2020,BOKU,Tulln,2020.Tulln,1,9,13,TS187,6266.343176782485,11.445039364343634,278.4499999925002,20,85,2020-05-28,1.71
2020,BOKU,Tulln,2020.Tulln,1,10,13,TS112,15357.877602874993,13.705369412867658,232.59062500199994,80,90,2020-06-03,3.86
2020,BOKU,Tulln,2020.Tulln,1,11,13,TS014,18143.877602924986,13.627031670106291,202.03068181363642,80,95,2020-06-05,5.14
2020,BOKU,Tulln,2020.Tulln,1,12,13,TS150,8284.686978297497,11.8987078224196,273.58385416500005,30,80,2020-05-30,3.86
2020,BOKU,Tulln,2020.Tulln,1,13,13,TS190,12305.14843668499,11.243009980197522,274.6718749899999,50,85,2020-06-05,4.29
2020,BOKU,Tulln,2020.Tulln,1,14,13,TS075,4113.116823529482,14.42932268679704,279.08281248000014,10,85,2020-05-22,0.86
2020,BOKU,Tulln,2020.Tulln,1,15,13,TS180,15301.609373749992,13.705369412867658,224.7664062524999,80,80,2020-06-03,2.57
2020,BOKU,Tulln,2020.Tulln,1,16,13,TS209,9425.504686497497,13.539653506589165,268.367708332,30,85,2020-05-30,4.29
2020,BOKU,Tulln,2020.Tulln,1,17,13,TS138,10024.746874034998,13.539653506589165,260.5434895825,40,90,2020-05-30,3
