season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2018,jardin,G_Retagliado.Bianco,1,R1,340,12.6,0.046439999999999995
2018,jardin,G_Retagliado.Bianco,1,R2,471,14,0.05114
2018,jardin,G_Retagliado.Bianco,1,R3,387,12,0.04217
2018,jardin,G_Retagliado.Bianco,2,R1,368,17,0.042480000000000004
2018,jardin,G_Retagliado.Bianco,2,R2,544,15,0.046709999999999995
2018,jardin,G_Retagliado.Bianco,2,R3,302,13.6,0.04393999999999999
2018,jardin,G_Retagliado.Bianco,3,R1,541,13.4,0.04509
2018,jardin,G_Retagliado.Bianco,3,R3,505,13.6,0.04687
2018,jardin,G_Ribier,1,R1,531,18.4,0.13172999999999999
2018,jardin,G_Ribier,1,R2,565,17.2,0.11998
2018,jardin,G_Ribier,1,R3,638,19.8,0.13856
2018,jardin,G_Ribier,2,R1,378,22.2,0.12530999999999998
2018,jardin,G_Ribier,2,R2,533,20,0.1169
2018,jardin,G_Ribier,2,R3,457,20.4,0.10184
2018,jardin,G_Ruby.Cabernet,1,R1,225,16.2,0.03867
2018,jardin,G_Ruby.Cabernet,1,R2,204,15.6,0.053380000000000004
2018,jardin,G_Ruby.Cabernet,1,R3,281,18.2,0.05482
2018,jardin,G_Ruby.Cabernet,2,R1,191,18,0.07171000000000001
2018,jardin,G_Ruby.Cabernet,2,R2,277,15.4,0.06089
2018,jardin,G_Ruby.Cabernet,2,R3,188,19.8,0.051669999999999994
2018,jardin,G_Ruby.Cabernet,3,R1,246,18,0.06534
2018,jardin,G_Ruby.Cabernet,3,R2,193,19,0.06317999999999999
2018,jardin,G_Ruby.Cabernet,3,R3,147,18,0.06111
2018,jardin,G_San.Francisco,1,R1,517,21,0.09471
2018,jardin,G_San.Francisco,1,R2,498,20,0.06063
2018,jardin,G_San.Francisco,1,R3,500,20.5,0.06722999999999998
2018,jardin,G_San.Francisco,2,R1,461,18,0.08080999999999999
2018,jardin,G_San.Francisco,2,R2,607,15,0.10215
2018,jardin,G_San.Francisco,2,R3,391,16,0.07813
2018,jardin,G_Seleccion.5,1,R1,509,19,7.099999999999995e-4
2018,jardin,G_Seleccion.5,1,R2,523,20,0.002560000000000001
2018,jardin,G_Seleccion.5,1,R3,542,20,0.003570000000000001
2018,jardin,G_Seleccion.5,2,R1,485,18,0.00358
2018,jardin,G_Seleccion.5,2,R2,783,18,0.0036999999999999976
2018,jardin,G_Seleccion.5,2,R3,584,19,0.00368
2018,jardin,G_Seleccion.5,3,R1,463,16.6,0.0013700000000000045
2018,jardin,G_Seleccion.5,3,R2,443,19.2,0.001050000000000001
2018,jardin,G_Seleccion.5,3,R3,514,19.8,0.0020100000000000005
2018,jardin,G_Sultanina.Monococo,1,R1,450,16.6,0.056490000000000005
2018,jardin,G_Sultanina.Monococo,1,R2,635,18,0.03818
