season,family,gid,plant,replicated,P_rachis_loss,soluble_solids,S_dry
2019,411,G_5.2.170,1,R1,66,16,0.00225
2019,912,G_5.3.65,1,R1,65.55555555555556,16,0.06446
2019,912,G_5.3.65,1,R2,57.857142857142854,16,0.07172
2019,912,G_5.3.65,1,R3,28,17,0.099
2019,900,G_5.3.7,1,R1,59.473684210526315,17,0.00816
2019,900,G_5.3.7,1,R2,72.72727272727273,19,0.00297
2019,900,G_5.3.7,1,R3,41.42857142857144,19,0.00347
2019,912,G_5.3.101,1,R1,56.666666666666664,18,0.08114
2019,912,G_5.3.101,1,R2,59.411764705882355,17,0.11813
2019,912,G_5.3.101,1,R3,57.36842105263158,17,0.08066
2019,912,G_5.3.125,1,R1,56,19,0.01269
2019,912,G_5.3.125,1,R2,25.45454545454546,20,6.3e-4
2019,912,G_5.3.125,1,R3,63.74999999999999,16,0.005
2019,900,G_5.3.33,1,R1,17.500000000000004,16,0.09559
2019,912,G_5.3.122,1,R1,30.909090909090914,18,0.075
2019,912,G_5.3.122,1,R2,66.47058823529412,19,0.08117
2019,912,G_5.3.122,1,R3,77.5,19,0.12762
2019,912,G_5.3.77,1,R1,37.14285714285713,20,0.06219
2019,912,G_5.3.67,1,R1,46,16,0.08855
2019,912,G_5.3.67,1,R2,70,16,0.06037
2019,912,G_5.3.67,1,R3,58.57142857142856,15,0.06842
2019,912,G_5.3.60,1,R1,79.47368421052632,15,0.03858
2019,912,G_5.3.60,1,R2,60,16,0.07094
2019,912,G_5.3.106,1,R1,58.18181818181818,17,0.00727
2019,912,G_5.3.106,1,R2,57.142857142857146,17,0.00406
2019,912,G_5.3.106,1,R3,65,17,0.00129
2019,406,G_5.4.60,1,R1,72,21,0.00655
2019,406,G_5.4.60,1,R2,28,20,0.00329
2019,406,G_5.4.60,1,R3,43.333333333333336,22,0.00613
2019,900,G_5.3.18,1,R1,41.81818181818181,19,8.8e-4
2019,900,G_5.3.18,1,R2,44.61538461538461,18,3.6e-4
2019,406,G_5.7.170,1,R1,5.9999999999999964,19,0.07054
2019,406,G_5.7.170,1,R2,66.875,19,0.06028
2019,111,G_5.7.103,1,R1,27.999999999999996,19,0.09716
2019,111,G_5.7.103,1,R2,20,17,0.08337
2019,406,G_5.7.133,1,R1,17.777777777777775,20,0.0141
2019,406,G_5.7.133,1,R2,13.33333333333333,20,0.0071
2019,406,G_5.7.133,1,R3,0,21,0.01806
2019,111,G_5.7.47,1,R1,34.28571428571429,17,0.08069
2019,111,G_5.7.47,1,R2,28.749999999999996,18,0.06566
2019,111,G_5.7.47,1,R3,63.125,18,0.06102
2019,111,G_5.7.38,1,R1,68.57142857142857,19,0.00226
2019,111,G_5.7.38,1,R2,70,20,6.6e-4
2019,111,G_5.7.46,1,R1,27.500000000000004,21,0.00717
2019,111,G_5.7.46,1,R2,81.11111111111111,22,0.00295
2019,411,G_5.8.63,1,R1,48,17,6e-5
2019,411,G_5.8.63,1,R2,0,17,0.01047
2019,411,G_5.8.63,1,R3,79,18,0.00739
2019,411,G_5.8.117,1,R1,42,19,0
2019,411,G_5.8.117,1,R2,42.50000000000001,19,0
2019,411,G_5.8.149,1,R1,0,20,9.7e-4
2019,411,G_5.8.149,1,R2,28.42105263157895,20,3.7e-4
2019,411,G_5.8.149,1,R3,0,19,4.3e-4
2019,411,G_5.8.113,1,R1,34.54545454545455,19,0.01162
2019,411,G_5.8.65,1,R1,15.555555555555559,19,0.00822
2019,411,G_5.8.65,1,R2,0,18,4.8e-4
2019,411,G_5.8.65,1,R3,47.77777777777778,19,2.3e-4
2019,411,G_5.8.101,1,R1,61.666666666666664,18,3.5e-4
2019,411,G_5.8.101,1,R2,30.000000000000004,12,0
2019,411,G_5.8.101,1,R3,17.500000000000004,16,0
2019,411,G_5.8.104,1,R1,80,16,0.04092
2019,411,G_5.8.104,1,R2,60,15,0.04762
2019,411,G_5.8.104,1,R3,71.66666666666667,15,0.03872
2019,929,G_5.10.71,1,R1,44.61538461538461,22,0.02085
2019,929,G_5.10.71,1,R2,77,21,0.02284
2019,929,G_5.10.141,1,R1,68,17,0.0494
2019,929,G_5.10.141,1,R2,68.75,18,0.04692
2019,929,G_5.10.141,1,R3,35.714285714285715,16,0.07944
2019,912,G_5.9.162,1,R1,0,19,0.05673
2019,912,G_5.9.162,1,R2,0,16,0.03577
2019,929,G_5.10.82,1,R1,74.44444444444444,18,0.02922
2019,929,G_5.10.82,1,R2,48.88888888888889,17,0.04629
2019,929,G_5.10.82,1,R3,8.571428571428566,15,0.05614
2019,912,G_5.9.164,1,R1,28.181818181818176,16,0.0129
2019,912,G_5.9.164,1,R2,29.000000000000007,13,0.02114
2019,912,G_5.9.164,1,R3,0,15,0.00852
2019,900,G_5.9.143,1,R1,13.33333333333333,18,0.00386
2019,900,G_5.9.143,1,R2,43.75,16,0.00346
2019,900,G_5.9.104,1,R1,0,19,0.04753
2019,900,G_5.9.104,1,R2,0,19,0.00476
2019,900,G_5.9.104,1,R3,30.83333333333333,19,0.0199
2019,912,G_5.9.157,1,R1,0,17,0.00894
2019,912,G_5.9.157,1,R2,74.61538461538461,18,0.01304
2019,411,G_5.6.107,1,R1,46.52173913043478,20,0.12988
2019,411,G_5.6.107,1,R2,47.083333333333336,20,0.10558
2019,411,G_5.6.126,1,R1,56.666666666666664,17,0.00287
2019,411,G_5.6.146,1,R1,76.66666666666666,20,0
