season,family,gid,plant,replicated,B_shape,soluble_solids,S_dry
2020,jardin,G_AK.ouziom,1,R1,1.021505376344086,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.03125,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.0376344086021505,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.0104166666666667,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.04739336492891,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.0648648648648649,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.076502732240437,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.1139896373056994,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.0461538461538462,20,0.05452
2020,jardin,G_AK.ouziom,1,R2,1.074468085106383,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.1703296703296702,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.1789473684210527,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.1828571428571428,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.1222222222222222,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.1144278606965177,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.0837696335078533,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.15819209039548,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.0555555555555556,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.1391752577319587,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R3,1.1188118811881187,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.1386138613861385,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.019704433497537,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.0756756756756756,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.0815217391304348,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.0085470085470085,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.09375,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.005050505050505,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.161111111111111,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.1139896373056994,18,0.060809999999999996
2020,jardin,G_AK.ouziom,2,R1,1.0769230769230769,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.140449438202247,17,0.03901
